SEAS	YR	TOTAL	ANOM	mmonth	status	ma_status	fstatus	month_num	year_month_index
DJF	1950	24.72	-1.53	J	-1		Normal	1	Jan-50
JFM	1950	25.17	-1.34	F	-1		Normal	2	Feb-50
FMA	1950	25.75	-1.16	M	-1	-3	La Niña	3	Mar-50
MAM	1950	26.12	-1.18	A	-1	-3	La Niña	4	Apr-50
AMJ	1950	26.32	-1.07	M	-1	-3	La Niña	5	May-50
MJJ	1950	26.31	-0.85	J	-1	-3	La Niña	6	Jun-50
JJA	1950	26.21	-0.54	J	-1	-3	La Niña	7	Jul-50
JAS	1950	25.96	-0.42	A	0	-2	Normal	8	Aug-50
ASO	1950	25.76	-0.39	S	0	-1	Normal	9	Sep-50
SON	1950	25.63	-0.44	O	0	0	Normal	10	Oct-50
OND	1950	25.48	-0.6	N	-1	-1	Normal	11	Nov-50
NDJ	1950	25.34	-0.8	D	-1	-2	Normal	12	Dec-50
DJF	1951	25.42	-0.82	J	-1	-3	La Niña	1	Jan-51
JFM	1951	25.96	-0.54	F	-1	-3	La Niña	2	Feb-51
FMA	1951	26.74	-0.17	M	0	-2	Normal	3	Mar-51
MAM	1951	27.48	0.18	A	0	-1	Normal	4	Apr-51
AMJ	1951	27.75	0.36	M	0	0	Normal	5	May-51
MJJ	1951	27.75	0.58	J	1	1	Normal	6	Jun-51
JJA	1951	27.44	0.7	J	1	2	Normal	7	Jul-51
JAS	1951	27.28	0.89	A	1	3	El Niño	8	Aug-51
ASO	1951	27.14	0.99	S	1	3	El Niño	9	Sep-51
SON	1951	27.22	1.15	O	1	3	El Niño	10	Oct-51
OND	1951	27.12	1.04	N	1	3	El Niño	11	Nov-51
NDJ	1951	26.95	0.81	D	1	3	El Niño	12	Dec-51
DJF	1952	26.78	0.53	J	1	3	El Niño	1	Jan-52
JFM	1952	26.87	0.37	F	0	2	Normal	2	Feb-52
FMA	1952	27.25	0.34	M	0	1	Normal	3	Mar-52
MAM	1952	27.6	0.29	A	0	0	Normal	4	Apr-52
AMJ	1952	27.59	0.2	M	0	0	Normal	5	May-52
MJJ	1952	27.17	0	J	0	0	Normal	6	Jun-52
JJA	1952	26.67	-0.08	J	0	0	Normal	7	Jul-52
JAS	1952	26.39	0	A	0	0	Normal	8	Aug-52
ASO	1952	26.3	0.15	S	0	0	Normal	9	Sep-52
SON	1952	26.17	0.1	O	0	0	Normal	10	Oct-52
OND	1952	26.13	0.04	N	0	0	Normal	11	Nov-52
NDJ	1952	26.29	0.15	D	0	0	Normal	12	Dec-52
DJF	1953	26.65	0.4	J	0	0	Normal	1	Jan-53
JFM	1953	27.1	0.6	F	1	1	Normal	2	Feb-53
FMA	1953	27.53	0.63	M	1	2	Normal	3	Mar-53
MAM	1953	27.96	0.66	A	1	3	El Niño	4	Apr-53
AMJ	1953	28.14	0.75	M	1	3	El Niño	5	May-53
MJJ	1953	27.94	0.77	J	1	3	El Niño	6	Jun-53
JJA	1953	27.49	0.75	J	1	3	El Niño	7	Jul-53
JAS	1953	27.12	0.73	A	1	3	El Niño	8	Aug-53
ASO	1953	26.93	0.78	S	1	3	El Niño	9	Sep-53
SON	1953	26.91	0.84	O	1	3	El Niño	10	Oct-53
OND	1953	26.92	0.84	N	1	3	El Niño	11	Nov-53
NDJ	1953	26.95	0.81	D	1	3	El Niño	12	Dec-53
DJF	1954	27	0.76	J	1	3	El Niño	1	Jan-54
JFM	1954	26.97	0.47	F	0	2	Normal	2	Feb-54
FMA	1954	26.86	-0.05	M	0	1	Normal	3	Mar-54
MAM	1954	26.89	-0.41	A	0	0	Normal	4	Apr-54
AMJ	1954	26.85	-0.54	M	-1	-1	Normal	5	May-54
MJJ	1954	26.67	-0.5	J	-1	-2	Normal	6	Jun-54
JJA	1954	26.1	-0.64	J	-1	-3	La Niña	7	Jul-54
JAS	1954	25.54	-0.84	A	-1	-3	La Niña	8	Aug-54
ASO	1954	25.25	-0.9	S	-1	-3	La Niña	9	Sep-54
SON	1954	25.3	-0.77	O	-1	-3	La Niña	10	Oct-54
OND	1954	25.35	-0.73	N	-1	-3	La Niña	11	Nov-54
NDJ	1954	25.48	-0.66	D	-1	-3	La Niña	12	Dec-54
DJF	1955	25.57	-0.68	J	-1	-3	La Niña	1	Jan-55
JFM	1955	25.89	-0.62	F	-1	-3	La Niña	2	Feb-55
FMA	1955	26.22	-0.69	M	-1	-3	La Niña	3	Mar-55
MAM	1955	26.5	-0.8	A	-1	-3	La Niña	4	Apr-55
AMJ	1955	26.6	-0.79	M	-1	-3	La Niña	5	May-55
MJJ	1955	26.45	-0.72	J	-1	-3	La Niña	6	Jun-55
JJA	1955	26.06	-0.68	J	-1	-3	La Niña	7	Jul-55
JAS	1955	25.64	-0.75	A	-1	-3	La Niña	8	Aug-55
ASO	1955	25.06	-1.09	S	-1	-3	La Niña	9	Sep-55
SON	1955	24.65	-1.42	O	-1	-3	La Niña	10	Oct-55
OND	1955	24.41	-1.67	N	-1	-3	La Niña	11	Nov-55
NDJ	1955	24.72	-1.47	D	-1	-3	La Niña	12	Dec-55
DJF	1956	25.23	-1.11	J	-1	-3	La Niña	1	Jan-56
JFM	1956	25.86	-0.76	F	-1	-3	La Niña	2	Feb-56
FMA	1956	26.37	-0.63	M	-1	-3	La Niña	3	Mar-56
MAM	1956	26.82	-0.54	A	-1	-3	La Niña	4	Apr-56
AMJ	1956	26.93	-0.52	M	-1	-3	La Niña	5	May-56
MJJ	1956	26.72	-0.51	J	-1	-3	La Niña	6	Jun-56
JJA	1956	26.23	-0.57	J	-1	-3	La Niña	7	Jul-56
JAS	1956	25.87	-0.55	A	-1	-3	La Niña	8	Aug-56
ASO	1956	25.71	-0.46	S	0	-2	Normal	9	Sep-56
SON	1956	25.67	-0.42	O	0	-1	Normal	10	Oct-56
OND	1956	25.67	-0.43	N	0	0	Normal	11	Nov-56
NDJ	1956	25.77	-0.43	D	0	0	Normal	12	Dec-56
DJF	1957	26.09	-0.25	J	0	0	Normal	1	Jan-57
JFM	1957	26.68	0.06	F	0	0	Normal	2	Feb-57
FMA	1957	27.41	0.41	M	0	0	Normal	3	Mar-57
MAM	1957	28.08	0.72	A	1	1	Normal	4	Apr-57
AMJ	1957	28.37	0.92	M	1	2	Normal	5	May-57
MJJ	1957	28.34	1.11	J	1	3	El Niño	6	Jun-57
JJA	1957	28.06	1.25	J	1	3	El Niño	7	Jul-57
JAS	1957	27.75	1.32	A	1	3	El Niño	8	Aug-57
ASO	1957	27.5	1.33	S	1	3	El Niño	9	Sep-57
SON	1957	27.48	1.39	O	1	3	El Niño	10	Oct-57
OND	1957	27.64	1.53	N	1	3	El Niño	11	Nov-57
NDJ	1957	27.94	1.74	D	1	3	El Niño	12	Dec-57
DJF	1958	28.15	1.81	J	1	3	El Niño	1	Jan-58
JFM	1958	28.27	1.66	F	1	3	El Niño	2	Feb-58
FMA	1958	28.26	1.27	M	1	3	El Niño	3	Mar-58
MAM	1958	28.28	0.93	A	1	3	El Niño	4	Apr-58
AMJ	1958	28.19	0.74	M	1	3	El Niño	5	May-58
MJJ	1958	27.87	0.64	J	1	3	El Niño	6	Jun-58
JJA	1958	27.38	0.57	J	1	3	El Niño	7	Jul-58
JAS	1958	26.85	0.43	A	0	2	Normal	8	Aug-58
ASO	1958	26.56	0.39	S	0	1	Normal	9	Sep-58
SON	1958	26.53	0.44	O	0	0	Normal	10	Oct-58
OND	1958	26.6	0.5	N	1	1	Normal	11	Nov-58
NDJ	1958	26.81	0.61	D	1	2	Normal	12	Dec-58
DJF	1959	26.95	0.61	J	1	3	El Niño	1	Jan-59
JFM	1959	27.24	0.62	F	1	3	El Niño	2	Feb-59
FMA	1959	27.51	0.52	M	1	3	El Niño	3	Mar-59
MAM	1959	27.68	0.33	A	0	2	Normal	4	Apr-59
AMJ	1959	27.65	0.2	M	0	1	Normal	5	May-59
MJJ	1959	27.16	-0.07	J	0	0	Normal	6	Jun-59
JJA	1959	26.63	-0.18	J	0	0	Normal	7	Jul-59
JAS	1959	26.15	-0.28	A	0	0	Normal	8	Aug-59
ASO	1959	26.08	-0.09	S	0	0	Normal	9	Sep-59
SON	1959	26.07	-0.03	O	0	0	Normal	10	Oct-59
OND	1959	26.15	0.05	N	0	0	Normal	11	Nov-59
NDJ	1959	26.16	-0.04	D	0	0	Normal	12	Dec-59
DJF	1960	26.24	-0.1	J	0	0	Normal	1	Jan-60
JFM	1960	26.51	-0.1	F	0	0	Normal	2	Feb-60
FMA	1960	26.92	-0.07	M	0	0	Normal	3	Mar-60
MAM	1960	27.39	0.03	A	0	0	Normal	4	Apr-60
AMJ	1960	27.47	0.02	M	0	0	Normal	5	May-60
MJJ	1960	27.26	0.03	J	0	0	Normal	6	Jun-60
JJA	1960	26.93	0.13	J	0	0	Normal	7	Jul-60
JAS	1960	26.66	0.24	A	0	0	Normal	8	Aug-60
ASO	1960	26.44	0.27	S	0	0	Normal	9	Sep-60
SON	1960	26.3	0.2	O	0	0	Normal	10	Oct-60
OND	1960	26.23	0.12	N	0	0	Normal	11	Nov-60
NDJ	1960	26.23	0.05	D	0	0	Normal	12	Dec-60
DJF	1961	26.34	0.04	J	0	0	Normal	1	Jan-61
JFM	1961	26.58	0.03	F	0	0	Normal	2	Feb-61
FMA	1961	26.96	0.04	M	0	0	Normal	3	Mar-61
MAM	1961	27.35	0.09	A	0	0	Normal	4	Apr-61
AMJ	1961	27.59	0.23	M	0	0	Normal	5	May-61
MJJ	1961	27.42	0.27	J	0	0	Normal	6	Jun-61
JJA	1961	26.9	0.14	J	0	0	Normal	7	Jul-61
JAS	1961	26.27	-0.13	A	0	0	Normal	8	Aug-61
ASO	1961	25.89	-0.3	S	0	0	Normal	9	Sep-61
SON	1961	25.85	-0.26	O	0	0	Normal	10	Oct-61
OND	1961	25.91	-0.19	N	0	0	Normal	11	Nov-61
NDJ	1961	26	-0.16	D	0	0	Normal	12	Dec-61
DJF	1962	26.05	-0.24	J	0	0	Normal	1	Jan-62
JFM	1962	26.32	-0.22	F	0	0	Normal	2	Feb-62
FMA	1962	26.71	-0.2	M	0	0	Normal	3	Mar-62
MAM	1962	27	-0.26	A	0	0	Normal	4	Apr-62
AMJ	1962	27.09	-0.28	M	0	0	Normal	5	May-62
MJJ	1962	26.96	-0.2	J	0	0	Normal	6	Jun-62
JJA	1962	26.72	-0.04	J	0	0	Normal	7	Jul-62
JAS	1962	26.34	-0.07	A	0	0	Normal	8	Aug-62
ASO	1962	26.07	-0.11	S	0	0	Normal	9	Sep-62
SON	1962	25.88	-0.22	O	0	0	Normal	10	Oct-62
OND	1962	25.79	-0.31	N	0	0	Normal	11	Nov-62
NDJ	1962	25.73	-0.43	D	0	0	Normal	12	Dec-62
DJF	1963	25.89	-0.4	J	0	0	Normal	1	Jan-63
JFM	1963	26.39	-0.15	F	0	0	Normal	2	Feb-63
FMA	1963	27.07	0.15	M	0	0	Normal	3	Mar-63
MAM	1963	27.53	0.27	A	0	0	Normal	4	Apr-63
AMJ	1963	27.68	0.31	M	0	0	Normal	5	May-63
MJJ	1963	27.67	0.52	J	1	1	Normal	6	Jun-63
JJA	1963	27.62	0.86	J	1	2	Normal	7	Jul-63
JAS	1963	27.54	1.14	A	1	3	El Niño	8	Aug-63
ASO	1963	27.4	1.22	S	1	3	El Niño	9	Sep-63
SON	1963	27.4	1.29	O	1	3	El Niño	10	Oct-63
OND	1963	27.47	1.37	N	1	3	El Niño	11	Nov-63
NDJ	1963	27.47	1.31	D	1	3	El Niño	12	Dec-63
DJF	1964	27.36	1.07	J	1	3	El Niño	1	Jan-64
JFM	1964	27.16	0.62	F	1	3	El Niño	2	Feb-64
FMA	1964	27.03	0.12	M	0	2	Normal	3	Mar-64
MAM	1964	26.93	-0.33	A	0	1	Normal	4	Apr-64
AMJ	1964	26.78	-0.58	M	-1	-1	Normal	5	May-64
MJJ	1964	26.57	-0.58	J	-1	-2	Normal	6	Jun-64
JJA	1964	26.16	-0.6	J	-1	-3	La Niña	7	Jul-64
JAS	1964	25.74	-0.66	A	-1	-3	La Niña	8	Aug-64
ASO	1964	25.42	-0.76	S	-1	-3	La Niña	9	Sep-64
SON	1964	25.31	-0.8	O	-1	-3	La Niña	10	Oct-64
OND	1964	25.28	-0.82	N	-1	-3	La Niña	11	Nov-64
NDJ	1964	25.38	-0.78	D	-1	-3	La Niña	12	Dec-64
DJF	1965	25.69	-0.59	J	-1	-3	La Niña	1	Jan-65
JFM	1965	26.27	-0.28	F	0	-2	Normal	2	Feb-65
FMA	1965	26.85	-0.07	M	0	-1	Normal	3	Mar-65
MAM	1965	27.44	0.18	A	0	0	Normal	4	Apr-65
AMJ	1965	27.82	0.46	M	0	0	Normal	5	May-65
MJJ	1965	27.99	0.83	J	1	1	Normal	6	Jun-65
JJA	1965	27.98	1.22	J	1	2	Normal	7	Jul-65
JAS	1965	27.95	1.54	A	1	3	El Niño	8	Aug-65
ASO	1965	28.04	1.85	S	1	3	El Niño	9	Sep-65
SON	1965	28.09	1.98	O	1	3	El Niño	10	Oct-65
OND	1965	28.07	1.97	N	1	3	El Niño	11	Nov-65
NDJ	1965	27.91	1.72	D	1	3	El Niño	12	Dec-65
DJF	1966	27.72	1.37	J	1	3	El Niño	1	Jan-66
JFM	1966	27.81	1.17	F	1	3	El Niño	2	Feb-66
FMA	1966	27.98	0.98	M	1	3	El Niño	3	Mar-66
MAM	1966	27.97	0.66	A	1	3	El Niño	4	Apr-66
AMJ	1966	27.78	0.35	M	0	2	Normal	5	May-66
MJJ	1966	27.5	0.24	J	0	1	Normal	6	Jun-66
JJA	1966	27.14	0.24	J	0	0	Normal	7	Jul-66
JAS	1966	26.69	0.12	A	0	0	Normal	8	Aug-66
ASO	1966	26.32	-0.05	S	0	0	Normal	9	Sep-66
SON	1966	26.24	-0.1	O	0	0	Normal	10	Oct-66
OND	1966	26.16	-0.18	N	0	0	Normal	11	Nov-66
NDJ	1966	26.04	-0.3	D	0	0	Normal	12	Dec-66
DJF	1967	26.01	-0.41	J	0	0	Normal	1	Jan-67
JFM	1967	26.17	-0.48	F	0	0	Normal	2	Feb-67
FMA	1967	26.46	-0.53	M	-1	-1	Normal	3	Mar-67
MAM	1967	26.87	-0.45	A	0	-1	Normal	4	Apr-67
AMJ	1967	27.19	-0.24	M	0	-1	Normal	5	May-67
MJJ	1967	27.26	0	J	0	0	Normal	6	Jun-67
JJA	1967	26.95	0.05	J	0	0	Normal	7	Jul-67
JAS	1967	26.41	-0.16	A	0	0	Normal	8	Aug-67
ASO	1967	26.08	-0.3	S	0	0	Normal	9	Sep-67
SON	1967	25.96	-0.38	O	0	0	Normal	10	Oct-67
OND	1967	26	-0.34	N	0	0	Normal	11	Nov-67
NDJ	1967	25.9	-0.44	D	0	0	Normal	12	Dec-67
DJF	1968	25.78	-0.64	J	-1	-1	Normal	1	Jan-68
JFM	1968	25.91	-0.74	F	-1	-2	Normal	2	Feb-68
FMA	1968	26.38	-0.62	M	-1	-3	La Niña	3	Mar-68
MAM	1968	26.88	-0.44	A	0	-2	Normal	4	Apr-68
AMJ	1968	27.39	-0.04	M	0	-1	Normal	5	May-68
MJJ	1968	27.54	0.28	J	0	0	Normal	6	Jun-68
JJA	1968	27.48	0.58	J	1	1	Normal	7	Jul-68
JAS	1968	27.1	0.53	A	1	2	Normal	8	Aug-68
ASO	1968	26.82	0.45	S	0	2	Normal	9	Sep-68
SON	1968	26.89	0.55	O	1	2	Normal	10	Oct-68
OND	1968	27.07	0.73	N	1	2	Normal	11	Nov-68
NDJ	1968	27.32	0.98	D	1	3	El Niño	12	Dec-68
DJF	1969	27.54	1.13	J	1	3	El Niño	1	Jan-69
JFM	1969	27.73	1.09	F	1	3	El Niño	2	Feb-69
FMA	1969	27.94	0.95	M	1	3	El Niño	3	Mar-69
MAM	1969	28.09	0.77	A	1	3	El Niño	4	Apr-69
AMJ	1969	28.04	0.61	M	1	3	El Niño	5	May-69
MJJ	1969	27.69	0.43	J	0	2	Normal	6	Jun-69
JJA	1969	27.26	0.36	J	0	1	Normal	7	Jul-69
JAS	1969	27.08	0.51	A	1	1	Normal	8	Aug-69
ASO	1969	27.17	0.79	S	1	2	Normal	9	Sep-69
SON	1969	27.2	0.86	O	1	3	El Niño	10	Oct-69
OND	1969	27.14	0.81	N	1	3	El Niño	11	Nov-69
NDJ	1969	26.98	0.63	D	1	3	El Niño	12	Dec-69
DJF	1970	26.93	0.51	J	1	3	El Niño	1	Jan-70
JFM	1970	26.98	0.34	F	0	2	Normal	2	Feb-70
FMA	1970	27.29	0.29	M	0	1	Normal	3	Mar-70
MAM	1970	27.51	0.19	A	0	0	Normal	4	Apr-70
AMJ	1970	27.47	0.04	M	0	0	Normal	5	May-70
MJJ	1970	26.96	-0.3	J	0	0	Normal	6	Jun-70
JJA	1970	26.28	-0.63	J	-1	-1	Normal	7	Jul-70
JAS	1970	25.81	-0.76	A	-1	-2	Normal	8	Aug-70
ASO	1970	25.61	-0.77	S	-1	-3	La Niña	9	Sep-70
SON	1970	25.6	-0.74	O	-1	-3	La Niña	10	Oct-70
OND	1970	25.48	-0.86	N	-1	-3	La Niña	11	Nov-70
NDJ	1970	25.22	-1.15	D	-1	-3	La Niña	12	Dec-70
DJF	1971	25.1	-1.36	J	-1	-3	La Niña	1	Jan-71
JFM	1971	25.32	-1.38	F	-1	-3	La Niña	2	Feb-71
FMA	1971	25.92	-1.12	M	-1	-3	La Niña	3	Mar-71
MAM	1971	26.51	-0.85	A	-1	-3	La Niña	4	Apr-71
AMJ	1971	26.73	-0.73	M	-1	-3	La Niña	5	May-71
MJJ	1971	26.56	-0.74	J	-1	-3	La Niña	6	Jun-71
JJA	1971	26.15	-0.8	J	-1	-3	La Niña	7	Jul-71
JAS	1971	25.86	-0.77	A	-1	-3	La Niña	8	Aug-71
ASO	1971	25.64	-0.82	S	-1	-3	La Niña	9	Sep-71
SON	1971	25.58	-0.85	O	-1	-3	La Niña	10	Oct-71
OND	1971	25.46	-0.96	N	-1	-3	La Niña	11	Nov-71
NDJ	1971	25.52	-0.9	D	-1	-3	La Niña	12	Dec-71
DJF	1972	25.77	-0.71	J	-1	-3	La Niña	1	Jan-72
JFM	1972	26.35	-0.35	F	0	-2	Normal	2	Feb-72
FMA	1972	27.1	0.06	M	0	-1	Normal	3	Mar-72
MAM	1972	27.77	0.41	A	0	0	Normal	4	Apr-72
AMJ	1972	28.13	0.67	M	1	1	Normal	5	May-72
MJJ	1972	28.21	0.92	J	1	2	Normal	6	Jun-72
JJA	1972	28.09	1.13	J	1	3	El Niño	7	Jul-72
JAS	1972	28	1.37	A	1	3	El Niño	8	Aug-72
ASO	1972	28.04	1.58	S	1	3	El Niño	9	Sep-72
SON	1972	28.26	1.84	O	1	3	El Niño	10	Oct-72
OND	1972	28.51	2.09	N	1	3	El Niño	11	Nov-72
NDJ	1972	28.54	2.12	D	1	3	El Niño	12	Dec-72
DJF	1973	28.32	1.84	J	1	3	El Niño	1	Jan-73
JFM	1973	27.95	1.25	F	1	3	El Niño	2	Feb-73
FMA	1973	27.59	0.54	M	1	3	El Niño	3	Mar-73
MAM	1973	27.26	-0.1	A	0	2	Normal	4	Apr-73
AMJ	1973	26.92	-0.54	M	-1	0	Normal	5	May-73
MJJ	1973	26.42	-0.87	J	-1	-2	Normal	6	Jun-73
JJA	1973	25.84	-1.11	J	-1	-3	La Niña	7	Jul-73
JAS	1973	25.35	-1.28	A	-1	-3	La Niña	8	Aug-73
ASO	1973	25.01	-1.45	S	-1	-3	La Niña	9	Sep-73
SON	1973	24.71	-1.71	O	-1	-3	La Niña	10	Oct-73
OND	1973	24.47	-1.95	N	-1	-3	La Niña	11	Nov-73
NDJ	1973	24.38	-2.03	D	-1	-3	La Niña	12	Dec-73
DJF	1974	24.64	-1.84	J	-1	-3	La Niña	1	Jan-74
JFM	1974	25.14	-1.55	F	-1	-3	La Niña	2	Feb-74
FMA	1974	25.82	-1.23	M	-1	-3	La Niña	3	Mar-74
MAM	1974	26.33	-1.03	A	-1	-3	La Niña	4	Apr-74
AMJ	1974	26.55	-0.91	M	-1	-3	La Niña	5	May-74
MJJ	1974	26.52	-0.77	J	-1	-3	La Niña	6	Jun-74
JJA	1974	26.42	-0.53	J	-1	-3	La Niña	7	Jul-74
JAS	1974	26.26	-0.37	A	0	-2	Normal	8	Aug-74
ASO	1974	26.06	-0.41	S	0	-1	Normal	9	Sep-74
SON	1974	25.82	-0.61	O	-1	-1	Normal	10	Oct-74
OND	1974	25.67	-0.75	N	-1	-2	Normal	11	Nov-74
NDJ	1974	25.78	-0.64	D	-1	-3	La Niña	12	Dec-74
DJF	1975	25.94	-0.54	J	-1	-3	La Niña	1	Jan-75
JFM	1975	26.13	-0.57	F	-1	-3	La Niña	2	Feb-75
FMA	1975	26.39	-0.65	M	-1	-3	La Niña	3	Mar-75
MAM	1975	26.63	-0.73	A	-1	-3	La Niña	4	Apr-75
AMJ	1975	26.64	-0.83	M	-1	-3	La Niña	5	May-75
MJJ	1975	26.31	-0.98	J	-1	-3	La Niña	6	Jun-75
JJA	1975	25.82	-1.13	J	-1	-3	La Niña	7	Jul-75
JAS	1975	25.43	-1.2	A	-1	-3	La Niña	8	Aug-75
ASO	1975	25.09	-1.37	S	-1	-3	La Niña	9	Sep-75
SON	1975	25	-1.43	O	-1	-3	La Niña	10	Oct-75
OND	1975	24.87	-1.55	N	-1	-3	La Niña	11	Nov-75
NDJ	1975	24.75	-1.65	D	-1	-3	La Niña	12	Dec-75
DJF	1976	24.9	-1.56	J	-1	-3	La Niña	1	Jan-76
JFM	1976	25.5	-1.17	F	-1	-3	La Niña	2	Feb-76
FMA	1976	26.28	-0.73	M	-1	-3	La Niña	3	Mar-76
MAM	1976	26.85	-0.47	A	0	-2	Normal	4	Apr-76
AMJ	1976	27.15	-0.28	M	0	-1	Normal	5	May-76
MJJ	1976	27.22	-0.05	J	0	0	Normal	6	Jun-76
JJA	1976	27.15	0.18	J	0	0	Normal	7	Jul-76
JAS	1976	27.04	0.35	A	0	0	Normal	8	Aug-76
ASO	1976	27.15	0.62	S	1	1	Normal	9	Sep-76
SON	1976	27.29	0.81	O	1	2	Normal	10	Oct-76
OND	1976	27.32	0.86	N	1	3	El Niño	11	Nov-76
NDJ	1976	27.27	0.85	D	1	3	El Niño	12	Dec-76
DJF	1977	27.18	0.71	J	1	3	El Niño	1	Jan-77
JFM	1977	27.31	0.64	F	1	3	El Niño	2	Feb-77
FMA	1977	27.35	0.34	M	0	2	Normal	3	Mar-77
MAM	1977	27.55	0.23	A	0	1	Normal	4	Apr-77
AMJ	1977	27.64	0.21	M	0	0	Normal	5	May-77
MJJ	1977	27.61	0.34	J	0	0	Normal	6	Jun-77
JJA	1977	27.32	0.35	J	0	0	Normal	7	Jul-77
JAS	1977	27.11	0.42	A	0	0	Normal	8	Aug-77
ASO	1977	27.1	0.57	S	1	1	Normal	9	Sep-77
SON	1977	27.21	0.73	O	1	2	Normal	10	Oct-77
OND	1977	27.27	0.81	N	1	3	El Niño	11	Nov-77
NDJ	1977	27.21	0.79	D	1	3	El Niño	12	Dec-77
DJF	1978	27.15	0.69	J	1	3	El Niño	1	Jan-78
JFM	1978	27.09	0.42	F	0	2	Normal	2	Feb-78
FMA	1978	27.08	0.06	M	0	1	Normal	3	Mar-78
MAM	1978	27.14	-0.18	A	0	0	Normal	4	Apr-78
AMJ	1978	27.11	-0.31	M	0	0	Normal	5	May-78
MJJ	1978	26.98	-0.29	J	0	0	Normal	6	Jun-78
JJA	1978	26.61	-0.36	J	0	0	Normal	7	Jul-78
JAS	1978	26.27	-0.42	A	0	0	Normal	8	Aug-78
ASO	1978	26.11	-0.42	S	0	0	Normal	9	Sep-78
SON	1978	26.19	-0.29	O	0	0	Normal	10	Oct-78
OND	1978	26.37	-0.08	N	0	0	Normal	11	Nov-78
NDJ	1978	26.43	0	D	0	0	Normal	12	Dec-78
DJF	1979	26.5	0.03	J	0	0	Normal	1	Jan-79
JFM	1979	26.75	0.07	F	0	0	Normal	2	Feb-79
FMA	1979	27.22	0.2	M	0	0	Normal	3	Mar-79
MAM	1979	27.6	0.28	A	0	0	Normal	4	Apr-79
AMJ	1979	27.66	0.23	M	0	0	Normal	5	May-79
MJJ	1979	27.32	0.05	J	0	0	Normal	6	Jun-79
JJA	1979	27	0.04	J	0	0	Normal	7	Jul-79
JAS	1979	26.86	0.17	A	0	0	Normal	8	Aug-79
ASO	1979	26.86	0.33	S	0	0	Normal	9	Sep-79
SON	1979	26.94	0.45	O	0	0	Normal	10	Oct-79
OND	1979	26.98	0.52	N	1	1	Normal	11	Nov-79
NDJ	1979	27.06	0.64	D	1	2	Normal	12	Dec-79
DJF	1980	27.06	0.59	J	1	3	El Niño	1	Jan-80
JFM	1980	27.13	0.46	F	0	2	Normal	2	Feb-80
FMA	1980	27.35	0.34	M	0	1	Normal	3	Mar-80
MAM	1980	27.7	0.38	A	0	0	Normal	4	Apr-80
AMJ	1980	27.9	0.48	M	0	0	Normal	5	May-80
MJJ	1980	27.73	0.46	J	0	0	Normal	6	Jun-80
JJA	1980	27.22	0.25	J	0	0	Normal	7	Jul-80
JAS	1980	26.72	0.03	A	0	0	Normal	8	Aug-80
ASO	1980	26.46	-0.07	S	0	0	Normal	9	Sep-80
SON	1980	26.5	0.02	O	0	0	Normal	10	Oct-80
OND	1980	26.57	0.11	N	0	0	Normal	11	Nov-80
NDJ	1980	26.48	-0.01	D	0	0	Normal	12	Dec-80
DJF	1981	26.32	-0.26	J	0	0	Normal	1	Jan-81
JFM	1981	26.32	-0.5	F	-1	-1	Normal	2	Feb-81
FMA	1981	26.69	-0.47	M	0	-1	Normal	3	Mar-81
MAM	1981	27.11	-0.37	A	0	-1	Normal	4	Apr-81
AMJ	1981	27.31	-0.26	M	0	0	Normal	5	May-81
MJJ	1981	27.09	-0.29	J	0	0	Normal	6	Jun-81
JJA	1981	26.75	-0.3	J	0	0	Normal	7	Jul-81
JAS	1981	26.5	-0.25	A	0	0	Normal	8	Aug-81
ASO	1981	26.42	-0.16	S	0	0	Normal	9	Sep-81
SON	1981	26.41	-0.13	O	0	0	Normal	10	Oct-81
OND	1981	26.37	-0.15	N	0	0	Normal	11	Nov-81
NDJ	1981	26.46	-0.08	D	0	0	Normal	12	Dec-81
DJF	1982	26.56	-0.05	J	0	0	Normal	1	Jan-82
JFM	1982	26.9	0.07	F	0	0	Normal	2	Feb-82
FMA	1982	27.35	0.19	M	0	0	Normal	3	Mar-82
MAM	1982	27.95	0.47	A	0	0	Normal	4	Apr-82
AMJ	1982	28.23	0.66	M	1	1	Normal	5	May-82
MJJ	1982	28.1	0.72	J	1	2	Normal	6	Jun-82
JJA	1982	27.83	0.79	J	1	3	El Niño	7	Jul-82
JAS	1982	27.81	1.07	A	1	3	El Niño	8	Aug-82
ASO	1982	28.16	1.58	S	1	3	El Niño	9	Sep-82
SON	1982	28.5	1.97	O	1	3	El Niño	10	Oct-82
OND	1982	28.7	2.18	N	1	3	El Niño	11	Nov-82
NDJ	1982	28.76	2.23	D	1	3	El Niño	12	Dec-82
DJF	1983	28.79	2.18	J	1	3	El Niño	1	Jan-83
JFM	1983	28.75	1.92	F	1	3	El Niño	2	Feb-83
FMA	1983	28.71	1.54	M	1	3	El Niño	3	Mar-83
MAM	1983	28.76	1.29	A	1	3	El Niño	4	Apr-83
AMJ	1983	28.63	1.06	M	1	3	El Niño	5	May-83
MJJ	1983	28.1	0.72	J	1	3	El Niño	6	Jun-83
JJA	1983	27.36	0.31	J	0	2	Normal	7	Jul-83
JAS	1983	26.66	-0.08	A	0	1	Normal	8	Aug-83
ASO	1983	26.12	-0.46	S	0	0	Normal	9	Sep-83
SON	1983	25.73	-0.81	O	-1	-1	Normal	10	Oct-83
