Date,ONI,SPI_ideam,SPI_merge,SPEI
2007-11-01,-1.5,0.4522138024686334,0.907378819902156,0.009
2007-12-01,-1.6,0.06250429895182873,1.0682958241530605,1.031
2008-01-01,-1.64,-0.480133571259436,0.48872270872671325,-0.03
2008-02-01,-1.52,-0.3633586237964689,0.6314496996859779,0.802
2008-03-01,-1.29,-1.874469321264407,-1.0585707631596148,-0.653
2008-04-01,-1.01,-1.446551978716024,-1.7728267976160663,-0.679
2008-05-01,-0.84,-0.4871861787204438,-0.9575284809532756,0.07
2008-06-01,-0.61,-0.4242772244424834,-0.3454556618576319,0.905
2008-07-01,-0.37,0.3980171700969252,0.14888576993250557,1.788
2008-08-01,-0.23,-0.02868453411113902,0.1245748743868229,1.617
2008-09-01,-0.24,-0.3911823657407298,-0.2246825137252465,1.387
2008-10-01,-0.35,-0.3135971165618613,0.07041494677801759,0.78
2008-11-01,-0.55,0.2749258320053884,0.7022553129885969,0.724
2008-12-01,-0.73,0.5346781092616327,0.6299884991561162,1.006
2009-01-01,-0.85,1.114200182722667,0.9292605124679907,1.514
2009-02-01,-0.79,0.2355582536843192,0.28237333589615565,1.007
2009-03-01,-0.61,0.5218470291168077,0.6680131873354553,1.599
2009-04-01,-0.33,-0.1745849245696621,-0.5867814593969735,0.449
2009-05-01,0.01,-1.084430013033001,-1.5309391792077036,-0.271
2009-06-01,0.28,-0.747954349152574,-0.9656324060104665,-0.774
2009-07-01,0.45,-0.3442546287438442,-0.36630526762250615,-0.741
2009-08-01,0.58,0.112831242656609,0.8454054557201774,-0.354
2009-09-01,0.71,0.1879894797888085,0.31789750162047253,-0.737
2009-10-01,1.01,-0.4832842972688409,0.3158538669937084,-0.799
2009-11-01,1.36,-0.7316022580957192,-0.7921456994218672,-1.321
2009-12-01,1.56,-1.065455616495748,-1.0039693468957362,-1.175
2010-01-01,1.5,-1.225925312730435,-2.036746245994217,-2.274
2010-02-01,1.22,-0.4410601413643229,-1.543402065913604,-1.857
2010-03-01,0.84,0.8316280468692961,-0.5769079839633902,-0.935
2010-04-01,0.35,1.293621237060409,0.34981972324058475,0.851
2010-05-01,-0.17,0.8075775966519697,0.04117724291653421,1.131
2010-06-01,-0.66,0.7716559431052327,-0.1822623382623955,0.986
2010-07-01,-1.05,0.3290160303518279,0.12934415660479123,1.453
2010-08-01,-1.35,0.3396219780213653,0.1759149866325204,1.319
2010-09-01,-1.56,0.2501887056912873,0.439523516166696,1.611
2010-10-01,-1.64,0.154317050616678,-0.3207026507941433,0.716
2010-11-01,-1.64,0.5588652418520795,0.37436197205447863,1.389
2010-12-01,-1.59,0.78512856713915,0.9573299983433085,1.491
2011-01-01,-1.42,0.849964875265208,1.299472519548189,2.14
2011-02-01,-1.19,0.6473782487549123,1.4856884922780333,1.833
2011-03-01,-0.93,0.09913799462704966,0.47517566116582666,1.176
2011-04-01,-0.73,0.5410176352481296,0.6737423952074243,1.905
2011-05-01,-0.55,0.9213542013632715,1.1428303564838362,2.133
2011-06-01,-0.44,0.5290117633112842,1.4265371286344053,1.957
2011-07-01,-0.48,0.05243794050367007,1.0641131179769736,1.291
2011-08-01,-0.62,-0.8497026083347129,0.10227526180309544,0.788
2011-09-01,-0.83,0.004641834783134374,0.44917064727803885,-0.038
2011-10-01,-1.01,-0.02302974899494323,0.6082388981935221,0.28
2011-11-01,-1.09,0.7178448108299268,1.349580394494347,1.51
2011-12-01,-1.04,0.7420894261354773,1.4117193709907445,1.337
2012-01-01,-0.86,0.9600676722224094,1.287429762687184,1.747
2012-02-01,-0.72,0.5798237896337373,0.9919027031447544,0.818
2012-03-01,-0.59,0.9772890002631883,0.9920367631583114,0.491
2012-04-01,-0.47,1.5601957840525,2.0084776368702357,0.715
2012-05-01,-0.26,0.9858322289164696,1.644376727154806,0.01
2012-06-01,-0.01,0.1283651247908134,0.8144648520023853,-0.883
2012-07-01,0.25,0.3562375450019098,0.027803171304357225,-1.352
2012-08-01,0.37,0.05973778642989656,0.010064282765194648,-1.306
2012-09-01,0.37,0.5199308368733104,0.2844317374696238,-1.141
2012-10-01,0.27,0.08967142731284716,0.5116202999566731,-1.052
2012-11-01,0.05,-0.1989704110669973,-0.06695129718683873,-1.009
2012-12-01,-0.21,-0.2166053992298114,0.03742738329422328,-0.669
2013-01-01,-0.43,-0.9448681572320484,-0.9147325906141038,-1.645
2013-02-01,-0.43,0.03267696719407825,-0.25501068107187025,0.169
2013-03-01,-0.34,0.1913552154282737,0.03140423010913412,-0.1
2013-04-01,-0.3,0.08222483831393403,-0.31956375777441,-0.417
2013-05-01,-0.36,0.06822988711128682,-0.18812704480826323,-0.149
2013-06-01,-0.41,0.09208404092541163,-0.647202741024962,-0.852
2013-07-01,-0.4,-0.4880375095016459,-0.05144921273207138,-1.105
2013-08-01,-0.32,-0.4671088763634822,0.060107946377017746,-0.981
2013-09-01,-0.26,-0.4114958921402284,0.3505215663441776,-0.746
2013-10-01,-0.18,-0.1573190168323632,-0.06876606020096063,-0.586
2013-11-01,-0.17,-0.4710090072406078,-0.2998144301781049,-1.164
2013-12-01,-0.27,-0.1047539964338346,-0.08715797130384942,-1.117
2014-01-01,-0.42,-0.04753825848416051,0.05771455053499463,-0.162
2014-02-01,-0.46,-0.3451072983935221,-0.5636665644180913,-0.245
2014-03-01,-0.27,-0.5922994221882395,-1.3753234160095316,-0.784
2014-04-01,0.04,-0.2279364137323501,-0.13386360241587864,-0.941
2014-05-01,0.21,-0.8452940637489025,-0.49642895532253917,-1.158
2014-06-01,0.16,-0.3898612669644292,0.15416332266469854,-1.168
2014-07-01,0.05,-0.3003671939620309,0.13548402186956682,-1.162
2014-08-01,0.07,-0.165634736620439,0.5503313915969436,-1.148
2014-09-01,0.23,0.02193845479553585,0.29337925344345206,-1.253
2014-10-01,0.49,0.1572910676337336,0.16046681873049906,-0.791
2014-11-01,0.64,0.1268233027166406,-0.2491089464641194,-0.502
2014-12-01,0.66,-0.04493425413628562,-0.20468973051148245,0.162
2015-01-01,0.55,0.0858305396133575,-0.21406987689089219,0.131
2015-02-01,0.47,0.3398734700551919,0.5558929102194862,0.117
2015-03-01,0.53,-0.261651260501031,0.35698858766881914,0.706
2015-04-01,0.7,-0.5524699690072903,-0.5881008765261523,0.15
2015-05-01,0.93,-1.187010136942203,-1.2255686599382778,-0.869
2015-06-01,1.18,-0.572954275936817,-0.6716642134162952,-0.927
2015-07-01,1.52,-0.4405045503353897,-0.21005654026005705,-0.942
2015-08-01,1.86,-0.00197577306540209,0.2834457759480781,-0.744
2015-09-01,2.16,-0.4623506654670917,-0.7385666707599484,-1.558
2015-10-01,2.42,-1.071388743762092,-1.0067037368007057,-1.993
2015-11-01,2.57,-0.4950424697686512,-0.630238633336654,-1.811
2015-12-01,2.64,0.06064849913423308,0.06080240601238216,-1.54
2016-01-01,2.48,0.3668378348929687,-0.3504445169072177,-1.26
2016-02-01,2.14,0.1971731013386853,-1.0712327031877424,-1.699
2016-03-01,1.58,-0.951235167635813,-1.406659191406436,-1.135
2016-04-01,0.94,0.3108665427851118,0.1777891272359662,0.196
2016-05-01,0.39,0.4644183785831222,0.258132865349999,-0.006
2016-06-01,-0.07,0.4845239465616823,0.6337685300929106,-1.008
2016-07-01,-0.36,-0.04242321518170252,0.661934009963806,-1.346
2016-08-01,-0.54,-0.04402170570780041,0.7778456745995298,-1.055
2016-09-01,-0.63,-0.2386144684660127,0.9445677014626048,-0.178
