CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Valor,geometry
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,227.1,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,169.9,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,161.3,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,94.5,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,52.9,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,1.3,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,11.1,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,19.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,89.6,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,611.5,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,213.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,252.1,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,284.9,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,227.1,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,264.0,POINT (-70.73805556000001 7.069444444)
37055010,AEROPUERTO SANTIAGO PÉREZ [37055010],7.069444444,-70.73805556,128,Sinóptica Principal,54.1,POINT (-70.73805556000001 7.069444444)
